Produit,Flux,Date,Montant
"TISSUS IMPREGNES, RECOUVERTS, STRATIFIES; ARTICLES TECHNIQUES EN TEXTILES",Exportations,2010-02-01,
ETOFFES DE BONNETERIE,Exportations,2010-02-01,
"VETEMENTS ET ACCESSOIRES DU VETEMENT, EN BONNETERIE",Exportations,2010-02-01,724500.0
"VETEMENTS ET ACCESSOIRES DU VETEMENT, AUTRES QU'EN BONNETERIE",Exportations,2010-02-01,11762480.0
AUTRES ARTICLES TEXTILES CONFECTIONNES; ASSORTIMENTS; FRIPERIE ET CHIFFONS,Exportations,2010-02-01,223340824.0
"CHAUSSURES, GUETRES ET ARTICLES ANALOGUES; PARTIES DE CES OBJETS",Exportations,2010-02-01,135315316.0
COIFFURES ET PARTIES DE COIFFURES,Exportations,2010-02-01,57720.0
"PARAPLUIES, PARASOLS, CANNES, FOUETS, CRAVACHES ET LEURS PARTIES",Exportations,2010-02-01,
PLUMES APPRETEES; FLEURS ARTIFICIELLES; OUVRAGES EN CHEVEUX,Exportations,2010-02-01,85775000.0
"OUVRAGES EN PIERRES, PLATRE, CIMENT, AMIANTE, MICA OU MATIERES ANALOGUES",Exportations,2010-02-01,95655447.0
PRODUITS CERAMIQUES,Exportations,2010-02-01,4632524.0
